ds,y
1903-06-01,65.89
1903-07-01,71.92
1903-08-01,70.97
1903-09-01,62.73
1903-10-01,53.94
1903-11-01,40.23
1903-12-01,30.54
1904-01-01,27.55
1904-02-01,31.59
1904-03-01,41.76
1904-04-01,49.46
1904-05-01,60.13
1904-06-01,67.26
1904-07-01,71.35
1904-08-01,70.72
1904-09-01,64.96
1904-10-01,53.92
1904-11-01,43.14
1904-12-01,32.02
1905-01-01,27.10
1905-02-01,26.94
1905-03-01,45.12
1905-04-01,50.49
1905-05-01,59.14
1905-06-01,68.00
1905-07-01,71.98
1905-08-01,72.37
1905-09-01,65.95
1905-10-01,51.64
1905-11-01,42.24
1905-12-01,30.99
1906-01-01,32.88
1906-02-01,33.69
1906-03-01,36.10
1906-04-01,52.72
1906-05-01,59.58
1906-06-01,67.32
1906-07-01,72.36
1906-08-01,71.85
1906-09-01,66.25
1906-10-01,52.54
1906-11-01,40.44
1906-12-01,34.97
1907-01-01,30.69
1907-02-01,35.46
1907-03-01,45.70
1907-04-01,47.53
1907-05-01,55.89
1907-06-01,65.70
1907-07-01,72.52
1907-08-01,70.79
1907-09-01,64.22
1907-10-01,53.78
1907-11-01,40.82
1907-12-01,34.70
1908-01-01,32.45
1908-02-01,33.01
1908-03-01,43.92
1908-04-01,52.75
1908-05-01,58.82
1908-06-01,66.92
1908-07-01,73.18
1908-08-01,70.68
1908-09-01,65.59
1908-10-01,51.76
1908-11-01,42.53
1908-12-01,33.31
1909-01-01,32.31
1909-02-01,35.02
1909-03-01,40.35
1909-04-01,48.96
1909-05-01,58.14
1909-06-01,68.94
1909-07-01,72.63
1909-08-01,72.93
1909-09-01,64.40
1909-10-01,52.88
1909-11-01,45.03
1909-12-01,25.61
1910-01-01,29.61
1910-02-01,29.30
1910-03-01,49.44
1910-04-01,53.62
1910-05-01,59.22
1910-06-01,68.29
1910-07-01,74.12
1910-08-01,71.11
1910-09-01,65.68
1910-10-01,55.62
1910-11-01,41.13
1910-12-01,31.93
1911-01-01,32.90
1911-02-01,33.66
1911-03-01,44.02
1911-04-01,50.00
1911-05-01,61.21
1911-06-01,70.75
1911-07-01,72.68
1911-08-01,70.90
1911-09-01,66.09
1911-10-01,52.66
1911-11-01,37.27
1911-12-01,32.20
1912-01-01,24.76
1912-02-01,31.08
1912-03-01,35.76
1912-04-01,50.58
1912-05-01,60.48
1912-06-01,66.70
1912-07-01,72.25
1912-08-01,70.12
1912-09-01,62.73
1912-10-01,53.17
1912-11-01,42.21
1912-12-01,32.95
1913-01-01,30.47
1913-02-01,29.50
1913-03-01,38.71
1913-04-01,51.39
1913-05-01,60.13
1913-06-01,68.22
1913-07-01,73.00
1913-08-01,73.36
1913-09-01,63.64
1913-10-01,51.64
1913-11-01,45.12
1913-12-01,33.33
1914-01-01,34.50
1914-02-01,29.52
1914-03-01,40.75
1914-04-01,51.04
1914-05-01,61.14
1914-06-01,69.35
1914-07-01,74.08
1914-08-01,71.69
1914-09-01,64.58
1914-10-01,55.24
1914-11-01,43.41
1914-12-01,26.78
1915-01-01,28.44
1915-02-01,35.94
1915-03-01,36.95
1915-04-01,54.57
1915-05-01,58.17
1915-06-01,66.07
1915-07-01,71.01
1915-08-01,70.16
1915-09-01,64.42
1915-10-01,55.35
1915-11-01,43.11
1915-12-01,33.17
1916-01-01,28.22
1916-02-01,33.03
1916-03-01,42.15
1916-04-01,50.25
1916-05-01,59.31
1916-06-01,66.31
1916-07-01,74.28
1916-08-01,71.82
1916-09-01,63.50
1916-10-01,52.14
1916-11-01,40.23
1916-12-01,28.94
1917-01-01,28.27
1917-02-01,30.09
1917-03-01,38.35
1917-04-01,48.63
1917-05-01,55.13
1917-06-01,66.97
1917-07-01,74.61
1917-08-01,71.02
1917-09-01,64.09
1917-10-01,50.41
1917-11-01,43.54
1917-12-01,29.64
1918-01-01,23.86
1918-02-01,33.82
1918-03-01,45.75
1918-04-01,49.03
1918-05-01,60.80
1918-06-01,71.15
1918-07-01,72.45
1918-08-01,72.50
1918-09-01,61.92
1918-10-01,56.17
1918-11-01,40.51
1918-12-01,34.45
1919-01-01,31.82
1919-02-01,32.25
1919-03-01,40.89
1919-04-01,51.35
1919-05-01,60.03
1919-06-01,69.30
1919-07-01,74.35
1919-08-01,72.27
1919-09-01,65.64
1919-10-01,52.59
1919-11-01,39.31
1919-12-01,28.78
1920-01-01,29.23
1920-02-01,33.69
1920-03-01,40.28
1920-04-01,46.78
1920-05-01,59.31
1920-06-01,67.37
1920-07-01,72.70
1920-08-01,70.63
1920-09-01,65.44
1920-10-01,54.63
1920-11-01,39.70
1920-12-01,33.13
1921-01-01,34.36
1921-02-01,36.90
1921-03-01,46.63
1921-04-01,51.01
1921-05-01,60.10
1921-06-01,70.36
1921-07-01,74.66
1921-08-01,72.03
1921-09-01,66.54
1921-10-01,55.35
1921-11-01,42.58
1921-12-01,35.08
1922-01-01,26.80
1922-02-01,31.95
1922-03-01,40.42
1922-04-01,50.31
1922-05-01,61.18
1922-06-01,70.14
1922-07-01,73.00
1922-08-01,72.81
1922-09-01,67.28
1922-10-01,55.02
1922-11-01,41.86
1922-12-01,33.55
1923-01-01,34.59
1923-02-01,29.57
1923-03-01,38.30
1923-04-01,49.91
1923-05-01,59.52
1923-06-01,68.04
1923-07-01,73.76
1923-08-01,71.11
1923-09-01,65.07
1923-10-01,51.24
1923-11-01,42.58
1923-12-01,35.98
1924-01-01,26.26
1924-02-01,35.19
1924-03-01,37.18
1924-04-01,50.27
1924-05-01,57.90
1924-06-01,68.59
1924-07-01,71.89
1924-08-01,72.07
1924-09-01,62.74
1924-10-01,54.97
1924-11-01,42.40
1924-12-01,27.59
1925-01-01,29.08
1925-02-01,38.30
1925-03-01,44.24
1925-04-01,54.72
1925-05-01,60.01
1925-06-01,69.84
1925-07-01,74.14
1925-08-01,71.40
1925-09-01,66.67
1925-10-01,48.92
1925-11-01,40.41
1925-12-01,32.50
1926-01-01,30.31
1926-02-01,37.67
1926-03-01,39.65
1926-04-01,50.04
1926-05-01,61.02
1926-06-01,68.20
1926-07-01,73.36
1926-08-01,72.34
1926-09-01,64.11
1926-10-01,54.95
1926-11-01,40.46
1926-12-01,31.33
1927-01-01,31.55
1927-02-01,37.90
1927-03-01,42.26
1927-04-01,51.58
1927-05-01,59.76
1927-06-01,67.21
1927-07-01,72.68
1927-08-01,69.37
1927-09-01,64.98
1927-10-01,55.90
1927-11-01,44.35
1927-12-01,28.22
1928-01-01,31.98
1928-02-01,34.34
1928-03-01,43.12
1928-04-01,48.06
1928-05-01,61.52
1928-06-01,65.91
1928-07-01,73.40
1928-08-01,71.82
1928-09-01,63.27
1928-10-01,55.08
1928-11-01,41.58
1928-12-01,32.94
1929-01-01,26.31
1929-02-01,26.92
1929-03-01,43.56
1929-04-01,51.17
1929-05-01,58.86
1929-06-01,67.50
1929-07-01,73.60
1929-08-01,72.63
1929-09-01,63.41
1929-10-01,53.92
1929-11-01,38.41
1929-12-01,33.96
1930-01-01,23.54
1930-02-01,40.10
1930-03-01,40.41
1930-04-01,54.41
1930-05-01,59.23
1930-06-01,68.41
1930-07-01,75.04
1930-08-01,72.90
1930-09-01,65.75
1930-10-01,51.69
1930-11-01,41.09
1930-12-01,31.17
1931-01-01,32.99
1931-02-01,37.94
1931-03-01,39.42
1931-04-01,51.06
1931-05-01,59.43
1931-06-01,70.70
1931-07-01,75.81
1931-08-01,71.96
1931-09-01,68.13
1931-10-01,56.57
1931-11-01,43.38
1931-12-01,35.06
1932-01-01,31.55
1932-02-01,36.70
1932-03-01,37.36
1932-04-01,51.60
1932-05-01,60.51
1932-06-01,69.24
1932-07-01,74.10
1932-08-01,72.57
1932-09-01,64.69
1932-10-01,52.32
1932-11-01,40.75
1932-12-01,29.41
1933-01-01,34.30
1933-02-01,29.59
1933-03-01,41.83
1933-04-01,49.84
1933-05-01,59.83
1933-06-01,71.56
1933-07-01,75.13
1933-08-01,71.92
1933-09-01,67.73
1933-10-01,55.20
1933-11-01,42.53
1933-12-01,36.43
1934-01-01,35.08
1934-02-01,34.32
1934-03-01,42.78
1934-04-01,53.74
1934-05-01,64.71
1934-06-01,70.68
1934-07-01,76.37
1934-08-01,73.53
1934-09-01,63.84
1934-10-01,56.52
1934-11-01,45.01
1934-12-01,32.67
1935-01-01,31.51
1935-02-01,36.01
1935-03-01,43.61
1935-04-01,49.71
1935-05-01,57.33
1935-06-01,67.64
1935-07-01,75.13
1935-08-01,72.99
1935-09-01,64.80
1935-10-01,53.80
1935-11-01,39.49
1935-12-01,30.74
1936-01-01,27.36
1936-02-01,25.23
1936-03-01,43.43
1936-04-01,50.22
1936-05-01,63.46
1936-06-01,70.61
1936-07-01,76.80
1936-08-01,74.59
1936-09-01,66.36
1936-10-01,53.49
1936-11-01,39.81
1936-12-01,34.47
1937-01-01,24.84
1937-02-01,31.73
1937-03-01,38.84
1937-04-01,50.11
1937-05-01,61.93
1937-06-01,68.79
1937-07-01,74.59
1937-08-01,74.66
1937-09-01,65.70
1937-10-01,53.89
1937-11-01,40.82
1937-12-01,32.70
1938-01-01,32.14
1938-02-01,36.00
1938-03-01,45.01
1938-04-01,51.73
1938-05-01,59.85
1938-06-01,68.77
1938-07-01,73.78
1938-08-01,73.72
1938-09-01,66.63
1938-10-01,56.41
1938-11-01,39.94
1938-12-01,34.21
1939-01-01,33.91
1939-02-01,29.98
1939-03-01,42.51
1939-04-01,51.53
1939-05-01,62.71
1939-06-01,68.86
1939-07-01,74.88
1939-08-01,72.64
1939-09-01,67.37
1939-10-01,54.72
1939-11-01,42.30
1939-12-01,37.72
1940-01-01,23.83
1940-02-01,33.85
1940-03-01,41.52
1940-04-01,50.23
1940-05-01,60.85
1940-06-01,69.60
1940-07-01,74.14
1940-08-01,72.14
1940-09-01,65.35
1940-10-01,56.08
1940-11-01,39.00
1940-12-01,36.05
1941-01-01,32.20
1941-02-01,33.53
1941-03-01,39.20
1941-04-01,52.02
1941-05-01,62.33
1941-06-01,67.80
1941-07-01,73.98
1941-08-01,72.07
1941-09-01,64.53
1941-10-01,55.20
1941-11-01,42.91
1941-12-01,36.12
1942-01-01,29.84
1942-02-01,30.74
1942-03-01,41.31
1942-04-01,53.06
1942-05-01,59.09
1942-06-01,67.91
1942-07-01,73.96
1942-08-01,71.78
1942-09-01,63.66
1942-10-01,54.57
1942-11-01,43.16
1942-12-01,32.97
1943-01-01,29.41
1943-02-01,36.28
1943-03-01,38.50
1943-04-01,52.88
1943-05-01,59.72
1943-06-01,68.77
1943-07-01,74.26
1943-08-01,73.45
1943-09-01,64.33
1943-10-01,53.69
1943-11-01,40.91
1943-12-01,32.59
1944-01-01,32.02
1944-02-01,34.50
1944-03-01,38.50
1944-04-01,48.97
1944-05-01,62.02
1944-06-01,68.36
1944-07-01,72.79
1944-08-01,72.10
1944-09-01,65.26
1944-10-01,55.27
1944-11-01,41.50
1944-12-01,30.67
1945-01-01,30.49
1945-02-01,35.28
1945-03-01,45.54
1945-04-01,50.22
1945-05-01,58.28
1945-06-01,65.88
1945-07-01,72.93
1945-08-01,72.16
1945-09-01,64.99
1945-10-01,54.14
1945-11-01,42.01
1945-12-01,29.08
1946-01-01,31.39
1946-02-01,34.88
1946-03-01,46.78
1946-04-01,54.61
1946-05-01,58.75
1946-06-01,68.32
1946-07-01,73.85
1946-08-01,71.17
1946-09-01,64.54
1946-10-01,53.15
1946-11-01,41.74
1946-12-01,36.18
1947-01-01,31.78
1947-02-01,31.41
1947-03-01,38.75
1947-04-01,50.95
1947-05-01,60.13
1947-06-01,66.72
1947-07-01,72.81
1947-08-01,74.08
1947-09-01,66.54
1947-10-01,58.80
1947-11-01,38.10
1947-12-01,32.92
1948-01-01,27.88
1948-02-01,31.62
1948-03-01,38.71
1948-04-01,53.35
1948-05-01,60.24
1948-06-01,68.76
1948-07-01,73.26
1948-08-01,72.05
1948-09-01,66.07
1948-10-01,53.19
1948-11-01,41.59
1948-12-01,32.58
1949-01-01,25.92
1949-02-01,31.91
1949-03-01,40.77
1949-04-01,52.07
1949-05-01,61.72
1949-06-01,69.24
1949-07-01,74.21
1949-08-01,72.10
1949-09-01,63.73
1949-10-01,54.05
1949-11-01,45.27
1949-12-01,33.26
1950-01-01,30.43
1950-02-01,35.55
1950-03-01,38.84
1950-04-01,48.65
1950-05-01,59.45
1950-06-01,67.93
1950-07-01,71.22
1950-08-01,70.02
1950-09-01,63.50
1950-10-01,57.47
1950-11-01,40.64
1950-12-01,33.01
1951-01-01,30.20
1951-02-01,34.54
1951-03-01,38.55
1951-04-01,49.73
1951-05-01,60.76
1951-06-01,66.65
1951-07-01,73.69
1951-08-01,71.89
1951-09-01,64.09
1951-10-01,54.00
1951-11-01,38.08
1951-12-01,31.23
1952-01-01,32.00
1952-02-01,35.46
1952-03-01,37.69
1952-04-01,51.66
1952-05-01,60.58
1952-06-01,70.75
1952-07-01,74.10
1952-08-01,72.82
1952-09-01,65.89
1952-10-01,52.95
1952-11-01,39.92
1952-12-01,33.44
1953-01-01,36.43
1953-02-01,35.87
1953-03-01,43.75
1953-04-01,48.76
1953-05-01,59.18
1953-06-01,70.18
1953-07-01,74.17
1953-08-01,72.10
1953-09-01,66.16
1953-10-01,56.21
1953-11-01,43.88
1953-12-01,33.69
1954-01-01,30.90
1954-02-01,41.41
1954-03-01,39.25
1954-04-01,54.18
1954-05-01,58.59
1954-06-01,68.85
1954-07-01,75.47
1954-08-01,72.18
1954-09-01,66.45
1954-10-01,54.68
1954-11-01,44.06
1954-12-01,33.91
1955-01-01,29.35
1955-02-01,31.05
1955-03-01,40.06
1955-04-01,52.86
1955-05-01,61.29
1955-06-01,66.54
1955-07-01,74.44
1955-08-01,73.87
1955-09-01,65.88
1955-10-01,55.04
1955-11-01,38.23
1955-12-01,31.71
1956-01-01,31.01
1956-02-01,32.27
1956-03-01,40.75
1956-04-01,49.37
1956-05-01,61.77
1956-06-01,70.36
1956-07-01,73.06
1956-08-01,71.69
1956-09-01,65.10
1956-10-01,56.16
1956-11-01,40.32
1956-12-01,36.23
1957-01-01,27.07
1957-02-01,38.07
1957-03-01,41.27
1957-04-01,50.70
1957-05-01,59.65
1957-06-01,68.70
1957-07-01,74.28
1957-08-01,71.65
1957-09-01,64.18
1957-10-01,51.67
1957-11-01,40.26
1957-12-01,37.00
1958-01-01,31.60
1958-02-01,31.98
1958-03-01,37.67
1958-04-01,50.27
1958-05-01,62.42
1958-06-01,67.93
1958-07-01,72.63
1958-08-01,73.29
1958-09-01,65.43
1958-10-01,54.73
1958-11-01,43.02
1958-12-01,32.22
1959-01-01,29.50
1959-02-01,32.49
1959-03-01,41.45
1959-04-01,51.60
1959-05-01,60.84
1959-06-01,69.96
1959-07-01,73.58
1959-08-01,73.17
1959-09-01,64.74
1959-10-01,53.33
1959-11-01,38.66
1959-12-01,35.94
1960-01-01,29.46
1960-02-01,30.52
1960-03-01,35.91
1960-04-01,52.59
1960-05-01,59.31
1960-06-01,69.08
1960-07-01,73.89
1960-08-01,72.21
1960-09-01,66.45
1960-10-01,54.77
1960-11-01,42.73
1960-12-01,30.40
1961-01-01,29.71
1961-02-01,37.42
1961-03-01,43.47
1961-04-01,48.67
1961-05-01,58.87
1961-06-01,69.49
1961-07-01,73.24
1961-08-01,72.70
1961-09-01,63.41
1961-10-01,53.85
1961-11-01,40.50
1961-12-01,31.08
1962-01-01,26.96
1962-02-01,34.92
1962-03-01,37.90
1962-04-01,51.84
1962-05-01,62.24
1962-06-01,67.91
1962-07-01,72.07
1962-08-01,72.12
1962-09-01,64.18
1962-10-01,56.12
1962-11-01,43.18
1962-12-01,33.40
1963-01-01,24.44
1963-02-01,34.12
1963-03-01,43.72
1963-04-01,51.89
1963-05-01,61.02
1963-06-01,68.67
1963-07-01,73.60
1963-08-01,71.98
1963-09-01,66.34
1963-10-01,59.36
1963-11-01,44.04
1963-12-01,27.90
1964-01-01,31.53
1964-02-01,31.77
1964-03-01,38.82
1964-04-01,51.30
1964-05-01,61.43
1964-06-01,68.00
1964-07-01,74.66
1964-08-01,70.72
1964-09-01,63.70
1964-10-01,53.78
1964-11-01,42.33
1964-12-01,32.04
1965-01-01,31.80
1965-02-01,32.52
1965-03-01,35.44
1965-04-01,51.89
1965-05-01,60.80
1965-06-01,66.85
1965-07-01,72.61
1965-08-01,71.06
1965-09-01,61.77
1965-10-01,54.99
1965-11-01,44.65
1965-12-01,35.85
1966-01-01,26.38
1966-02-01,31.24
1966-03-01,43.00
1966-04-01,49.96
1966-05-01,60.19
1966-06-01,67.93
1966-07-01,75.07
1966-08-01,70.86
1966-09-01,64.54
1966-10-01,52.83
1966-11-01,43.21
1966-12-01,32.68
1967-01-01,33.10
1967-02-01,32.88
1967-03-01,43.63
1967-04-01,51.01
1967-05-01,57.63
1967-06-01,67.55
1967-07-01,72.52
1967-08-01,71.22
1967-09-01,64.06
1967-10-01,53.92
1967-11-01,41.54
1967-12-01,32.07
1968-01-01,28.94
1968-02-01,32.92
1968-03-01,43.56
1968-04-01,50.58
1968-05-01,58.17
1968-06-01,68.50
1968-07-01,72.86
1968-08-01,70.59
1968-09-01,63.90
1968-10-01,54.64
1968-11-01,41.14
1968-12-01,30.04
1969-01-01,29.37
1969-02-01,32.81
1969-03-01,36.03
1969-04-01,52.63
1969-05-01,61.41
1969-06-01,66.83
1969-07-01,74.10
1969-08-01,73.22
1969-09-01,65.55
1969-10-01,51.03
1969-11-01,41.59
1969-12-01,33.46
1970-01-01,27.14
1970-02-01,35.35
1970-03-01,38.50
1970-04-01,49.44
1970-05-01,61.07
1970-06-01,68.74
1970-07-01,73.96
1970-08-01,73.38
1970-09-01,64.58
1970-10-01,52.27
1970-11-01,41.31
1970-12-01,33.58
1971-01-01,29.41
1971-02-01,33.48
1971-03-01,39.65
1971-04-01,50.27
1971-05-01,58.26
1971-06-01,69.44
1971-07-01,72.36
1971-08-01,72.01
1971-09-01,64.33
1971-10-01,55.08
1971-11-01,41.61
1971-12-01,33.98
1972-01-01,29.93
1972-02-01,33.55
1972-03-01,44.04
1972-04-01,50.81
1972-05-01,60.53
1972-06-01,68.22
1972-07-01,72.18
1972-08-01,71.67
1972-09-01,64.44
1972-10-01,52.29
1972-11-01,38.93
1972-12-01,29.86
1973-01-01,29.59
1973-02-01,33.58
1973-03-01,44.29
1973-04-01,48.83
1973-05-01,59.23
1973-06-01,68.95
1973-07-01,73.26
1973-08-01,72.61
1973-09-01,64.40
1973-10-01,56.07
1973-11-01,42.93
1973-12-01,33.71
1974-01-01,31.01
1974-02-01,34.74
1974-03-01,44.38
1974-04-01,51.55
1974-05-01,60.37
1974-06-01,68.49
1974-07-01,74.08
1974-08-01,70.30
1974-09-01,62.31
1974-10-01,53.89
1974-11-01,42.39
1974-12-01,33.66
1975-01-01,32.34
1975-02-01,32.76
1975-03-01,38.70
1975-04-01,46.85
1975-05-01,60.35
1975-06-01,67.51
1975-07-01,73.56
1975-08-01,71.53
1975-09-01,62.89
1975-10-01,54.63
1975-11-01,42.60
1975-12-01,34.29
1976-01-01,29.93
1976-02-01,39.56
1976-03-01,42.31
1976-04-01,51.85
1976-05-01,59.04
1976-06-01,67.80
1976-07-01,72.90
1976-08-01,70.66
1976-09-01,64.18
1976-10-01,50.00
1976-11-01,38.48
1976-12-01,30.92
1977-01-01,23.09
1977-02-01,36.03
1977-03-01,43.18
1977-04-01,54.07
1977-05-01,61.66
1977-06-01,70.34
1977-07-01,74.43
1977-08-01,71.78
1977-09-01,65.93
1977-10-01,53.98
1977-11-01,42.87
1977-12-01,33.28
1978-01-01,25.86
1978-02-01,27.99
1978-03-01,41.31
1978-04-01,51.58
1978-05-01,59.74
1978-06-01,68.94
1978-07-01,73.80
1978-08-01,71.80
1978-09-01,65.84
1978-10-01,54.41
1978-11-01,41.47
1978-12-01,29.80
1979-01-01,21.90
1979-02-01,28.13
1979-03-01,42.06
1979-04-01,50.14
1979-05-01,59.13
1979-06-01,67.82
1979-07-01,73.13
1979-08-01,70.97
1979-09-01,66.09
1979-10-01,55.26
1979-11-01,39.94
1979-12-01,36.03
1980-01-01,31.12
1980-02-01,32.85
1980-03-01,39.36
1980-04-01,51.44
1980-05-01,60.28
1980-06-01,68.74
1980-07-01,75.76
1980-08-01,72.79
1980-09-01,66.24
1980-10-01,52.59
1980-11-01,42.31
1980-12-01,35.19
1981-01-01,32.41
1981-02-01,36.59
1981-03-01,42.85
1981-04-01,55.13
1981-05-01,58.96
1981-06-01,69.82
1981-07-01,73.96
1981-08-01,72.10
1981-09-01,64.92
1981-10-01,52.32
1981-11-01,44.74
1981-12-01,33.66
1982-01-01,26.22
1982-02-01,32.59
1982-03-01,42.03
1982-04-01,48.63
1982-05-01,60.80
1982-06-01,66.33
1982-07-01,73.20
1982-08-01,72.09
1982-09-01,64.04
1982-10-01,53.26
1982-11-01,41.13
1982-12-01,35.82
1983-01-01,33.12
1983-02-01,36.86
1983-03-01,42.40
1983-04-01,47.01
1983-05-01,57.94
1983-06-01,67.10
1983-07-01,73.99
1983-08-01,75.06
1983-09-01,65.59
1983-10-01,55.00
1983-11-01,43.03
1983-12-01,25.47
1984-01-01,28.83
1984-02-01,37.38
1984-03-01,40.08
1984-04-01,49.60
1984-05-01,60.08
1984-06-01,68.61
1984-07-01,73.17
1984-08-01,73.13
1984-09-01,63.14
1984-10-01,53.60
1984-11-01,41.54
1984-12-01,34.54
1985-01-01,26.31
1985-02-01,30.87
1985-03-01,43.48
1985-04-01,54.36
1985-05-01,62.08
1985-06-01,68.11
1985-07-01,74.05
1985-08-01,71.02
1985-09-01,62.73
1985-10-01,54.30
1985-11-01,39.51
1985-12-01,28.81
1986-01-01,34.68
1986-02-01,35.85
1986-03-01,46.18
1986-04-01,52.86
1986-05-01,61.09
1986-06-01,70.41
1986-07-01,73.51
1986-08-01,71.73
1986-09-01,63.70
1986-10-01,54.01
1986-11-01,41.40
1986-12-01,34.43
1987-01-01,31.44
1987-02-01,37.38
1987-03-01,42.57
1987-04-01,53.53
1987-05-01,62.96
1987-06-01,70.25
1987-07-01,73.27
1987-08-01,71.87
1987-09-01,65.25
1987-10-01,52.95
1987-11-01,43.97
1987-12-01,34.54
1988-01-01,27.79
1988-02-01,33.69
1988-03-01,42.40
1988-04-01,51.82
1988-05-01,61.21
1988-06-01,70.88
1988-07-01,74.79
1988-08-01,73.67
1988-09-01,64.60
1988-10-01,53.96
1988-11-01,43.29
1988-12-01,33.46
1989-01-01,34.09
1989-02-01,29.17
1989-03-01,42.67
1989-04-01,52.88
1989-05-01,60.46
1989-06-01,68.13
1989-07-01,74.23
1989-08-01,71.31
1989-09-01,64.08
1989-10-01,54.34
1989-11-01,42.93
1989-12-01,27.73
1990-01-01,36.50
1990-02-01,36.70
1990-03-01,44.74
1990-04-01,52.52
1990-05-01,58.86
1990-06-01,70.23
1990-07-01,73.26
1990-08-01,72.28
1990-09-01,67.35
1990-10-01,53.98
1990-11-01,44.92
1990-12-01,30.83
1991-01-01,29.48
1991-02-01,39.81
1991-03-01,43.32
1991-04-01,52.54
1991-05-01,61.97
1991-06-01,69.08
1991-07-01,73.89
1991-08-01,72.99
1991-09-01,64.90
1991-10-01,54.75
1991-11-01,39.43
1991-12-01,35.74
1992-01-01,33.62
1992-02-01,39.70
1992-03-01,44.71
1992-04-01,52.54
1992-05-01,61.16
1992-06-01,67.44
1992-07-01,71.22
1992-08-01,69.84
1992-09-01,64.67
1992-10-01,54.54
1992-11-01,40.06
1992-12-01,31.75
1993-01-01,30.47
1993-02-01,31.14
1993-03-01,41.79
1993-04-01,49.91
1993-05-01,60.89
1993-06-01,67.21
1993-07-01,72.16
1993-08-01,71.89
1993-09-01,63.30
1993-10-01,52.97
1993-11-01,39.22
1993-12-01,34.20
1994-01-01,29.34
1994-02-01,31.87
1994-03-01,44.51
1994-04-01,52.66
1994-05-01,60.67
1994-06-01,70.95
1994-07-01,73.62
1994-08-01,72.21
1994-09-01,65.55
1994-10-01,54.21
1994-11-01,42.57
1994-12-01,36.23
1995-01-01,33.08
1995-02-01,37.36
1995-03-01,43.34
1995-04-01,49.41
1995-05-01,58.64
1995-06-01,67.55
1995-07-01,73.54
1995-08-01,74.32
1995-09-01,64.69
1995-10-01,54.45
1995-11-01,42.04
1995-12-01,33.42
1996-01-01,29.70
1996-02-01,35.69
1996-03-01,39.02
1996-04-01,50.65
1996-05-01,60.98
1996-06-01,69.87
1996-07-01,73.63
1996-08-01,72.43
1996-09-01,63.46
1996-10-01,53.65
1996-11-01,39.63
1996-12-01,33.91
1997-01-01,29.95
1997-02-01,36.05
1997-03-01,44.67
1997-04-01,47.91
1997-05-01,59.40
1997-06-01,68.31
1997-07-01,73.18
1997-08-01,71.74
1997-09-01,66.42
1997-10-01,53.92
1997-11-01,40.87
1997-12-01,34.00
1998-01-01,34.99
1998-02-01,38.71
1998-03-01,41.34
1998-04-01,51.06
1998-05-01,62.47
1998-06-01,68.13
1998-07-01,75.49
1998-08-01,74.03
1998-09-01,68.99
1998-10-01,55.13
1998-11-01,44.91
1998-12-01,35.55
1999-01-01,33.78
1999-02-01,39.49
1999-03-01,42.80
1999-04-01,51.55
1999-05-01,60.06
1999-06-01,68.31
1999-07-01,74.30
1999-08-01,72.91
1999-09-01,64.35
1999-10-01,54.75
1999-11-01,48.11
1999-12-01,36.10
2000-01-01,33.57
2000-02-01,39.78
2000-03-01,46.04
2000-04-01,52.59
2000-05-01,63.14
2000-06-01,69.03
2000-07-01,73.87
2000-08-01,74.05
2000-09-01,65.57
2000-10-01,55.09
2000-11-01,38.03
